# prompt: Write out a sequence of 2 random integers between 1 and 100 inclusive. Separate the integers by a space ' ' character. DO NOT output anything else.

# steps: 2

# rollouts: 32

# min_int: 1

# max_int: 100

# per_step_probs
step value prob
1 1 4.559124146724832e-10
2 1 1.832854362251255e-08
1 2 7.901954917351073e-11
2 2 3.281873525442654e-09
1 3 5.827325274227847e-11
2 3 2.355363805577969e-09
1 4 4.2751450942041e-11
2 4 1.739244635013534e-09
1 5 6.28035975325543e-11
2 5 2.565750528352327e-09
1 6 2.771372119607445e-11
2 6 1.1604733993685e-09
1 7 2.366432538799469e-11
2 7 9.788033800289035e-10
1 8 1.485801351264193e-11
2 8 6.165287975724776e-10
1 9 1.585169873242576e-11
2 9 6.684575643372077e-10
1 10 1.144830335608224e-10
2 10 4.827013986164582e-09
1 11 8.662553579897438e-12
2 11 3.64986942331537e-10
1 12 1.874610543510039e-11
2 12 8.053822049920755e-10
1 13 1.230079816599382e-11
2 13 5.21239176964767e-10
1 14 1.271564270440823e-11
2 14 5.504468793490957e-10
1 15 2.175245857649874e-11
2 15 9.472670291832499e-10
1 16 1.000007754531952e-11
2 16 4.403705981842001e-10
1 17 9.197561952845179e-12
2 17 4.002782441757191e-10
1 18 7.908162908602182e-12
2 18 3.401982115011237e-10
1 19 1.156377654002199e-11
2 19 4.984017723536682e-10
1 20 3.267767244635594e-11
2 20 1.385157098689008e-09
1 21 7.070305030024063e-12
2 21 3.149708338425645e-10
1 22 4.30887052036643e-12
2 22 1.882950282102697e-10
1 23 7.826547154937431e-12
2 23 3.304937629784209e-10
1 24 2.317379590635294e-11
2 24 1.004353596910965e-09
1 25 1.19071162815221e-11
2 25 4.961222123993889e-10
1 26 3.646297365320337e-12
2 26 1.605352737368886e-10
1 27 5.850453401694171e-12
2 27 2.56903225008773e-10
1 28 2.846078047342677e-12
2 28 1.236393366875283e-10
1 29 4.758417518622396e-12
2 29 2.028842807325603e-10
1 30 1.487420413172614e-11
2 30 6.255203148378583e-10
1 31 4.803226454282515e-12
2 31 2.112037895139806e-10
1 32 1.729140050533096e-12
2 32 7.313538394257489e-11
1 33 9.447476108607581e-13
2 33 4.014423309206924e-11
1 34 1.359134557346182e-12
2 34 5.910612690689918e-11
1 35 3.697358741709639e-12
2 35 1.598974637130916e-10
1 36 1.510125733584187e-12
2 36 6.657997532370548e-11
1 37 9.660417855025002e-13
2 37 4.267670698389205e-11
1 38 1.610506562905897e-12
2 38 6.991975428014878e-11
1 39 9.070138980397037e-13
2 39 3.847811232401172e-11
1 40 6.625602003307709e-12
2 40 2.775144147917602e-10
1 41 9.144119407073258e-13
2 41 4.188562604028693e-11
1 42 1.269164826972378e-12
2 42 5.541066180855598e-11
1 43 9.28969516411332e-13
2 43 4.091991719235568e-11
1 44 8.379823873481425e-13
2 44 3.699721275157872e-11
1 45 1.566306888914426e-12
2 45 6.922186945106401e-11
1 46 7.213574566020408e-13
2 46 3.156343652510278e-11
1 47 8.296251445583344e-13
2 47 3.631501395740832e-11
1 48 1.659672051310075e-12
2 48 7.365286803482255e-11
1 49 1.482304798621443e-12
2 49 6.224958760691153e-11
1 50 1.400637568529434e-11
2 50 5.812903037976922e-10
1 51 4.033780099243708e-13
2 51 1.83452325495801e-11
1 52 1.16724191551095e-12
2 52 5.168499199391298e-11
1 53 8.03223464510303e-13
2 53 3.517824454509751e-11
1 54 6.704095478934245e-13
2 54 2.93384681928314e-11
1 55 8.629073344249448e-13
2 55 3.7729391155587e-11
1 56 6.068683256449256e-13
2 56 2.756853799111005e-11
1 57 2.68280071055552e-13
2 57 1.212773948618893e-11
1 58 2.549518617822473e-13
2 58 1.1875593650834e-11
1 59 5.358485797752664e-13
2 59 2.377540841806487e-11
1 60 5.549207296492967e-12
2 60 2.277216162891047e-10
1 61 5.074609212345293e-13
2 61 2.286577599865589e-11
1 62 4.169946627259626e-13
2 62 1.839543071580858e-11
1 63 7.048703697575104e-13
2 63 3.166165774754253e-11
1 64 2.253022485857311e-12
2 64 9.646581136570846e-11
1 65 9.830606071856939e-13
2 65 4.280431343500109e-11
1 66 2.806075757737127e-13
2 66 1.206663538793912e-11
1 67 4.826624130856372e-13
2 67 2.168020808702036e-11
1 68 7.028860952010917e-13
2 68 3.129324955934061e-11
1 69 4.956290234154232e-13
2 69 2.174300661559667e-11
1 70 2.105100903384035e-12
2 70 9.277215661269438e-11
1 71 5.908043907828035e-13
2 71 2.719591958259767e-11
1 72 5.402449794242907e-13
2 72 2.499599178918876e-11
1 73 2.13930689464956e-13
2 73 9.832551909192841e-12
1 74 3.278164221309173e-13
2 74 1.472799349579219e-11
1 75 1.284213517254283e-12
2 75 5.575240905100552e-11
1 76 4.907179108329675e-13
2 76 2.291683848218793e-11
1 77 1.044619918031321e-12
2 77 4.759191464826004e-11
1 78 4.488605850453279e-13
2 78 2.060844886069634e-11
1 79 3.988823581273688e-13
2 79 1.824418659499533e-11
1 80 3.398962724890713e-12
2 80 1.475702181730922e-10
1 81 5.057872759465394e-13
2 81 2.30372663063243e-11
1 82 1.534775150216452e-13
2 82 7.008925237987877e-12
1 83 2.404484678146285e-13
2 83 1.086514186034482e-11
1 84 2.902238108077844e-13
2 84 1.313323627799918e-11
1 85 6.32600205367122e-13
2 85 2.992018822854197e-11
1 86 6.872772170779184e-13
2 86 3.158299932148594e-11
1 87 4.469503465818668e-13
2 87 2.012828950840285e-11
1 88 3.176820929974574e-13
2 88 1.462073524801485e-11
1 89 3.225371784194808e-13
2 89 1.489912502384335e-11
1 90 5.198382247371207e-12
2 90 2.248593879809519e-10
1 91 5.601481437478623e-13
2 91 2.562112921373511e-11
1 92 3.495703081032194e-13
2 92 1.625814518877322e-11
1 93 8.412765990256951e-13
2 93 3.918484230426861e-11
1 94 4.146375571475115e-13
2 94 1.958712106146019e-11
1 95 1.598400263337653e-12
2 95 7.234318339880476e-11
1 96 6.474845533060562e-13
2 96 2.970786262048933e-11
1 97 6.886103596832472e-13
2 97 3.09544157438757e-11
1 98 5.501600695875526e-13
2 98 2.495055220745986e-11
1 99 1.193944911558048e-12
2 99 5.432276289295323e-11
1 100 5.524814220376841e-11
2 100 2.328844070118167e-09

# sampled_sequences
sequence_idx step_idx value
0 0 16
0 1 220
1 0 2983
1 1 220
2 0 14196
2 1 4077
3 0 5120
3 1 220
4 0 14196
4 1 4077
5 0 1490
5 1 220
6 0 14196
6 1 4077
7 0 14196
7 1 4077
8 0 717
8 1 220
9 0 14196
9 1 4077
10 0 12533
10 1 220
11 0 16
11 1 220
12 0 16
12 1 220
13 0 14196
13 1 4077
14 0 14196
14 1 4077
15 0 3391
15 1 220
16 0 1758
16 1 220
17 0 9870
17 1 220
18 0 18
18 1 220
19 0 6086
19 1 220
20 0 18
20 1 220
21 0 14196
21 1 4077
22 0 16
22 1 220
23 0 2983
23 1 220
24 0 975
24 1 220
25 0 16
25 1 220
26 0 16
26 1 220
27 0 14196
27 1 4077
28 0 25013
28 1 85076
29 0 7261
29 1 220
30 0 334
30 1 1379
31 0 1419
31 1 220
