step value prob
1 1 3.187635768283865e-10
2 1 1.041567539134534e-08
3 1 3.564872877800659e-09
4 1 9.246885176365038e-09
1 2 5.729140614929661e-11
2 2 1.817401366846916e-09
3 2 5.946324768271154e-10
4 2 1.570609594715046e-09
1 3 4.260346445302812e-11
2 3 1.431401438010695e-09
3 3 4.79536206308663e-10
4 3 1.284997067055803e-09
1 4 3.044639381978738e-11
2 4 1.002531527130185e-09
3 4 3.380583102117805e-10
4 4 9.02203502461931e-10
1 5 4.605048217074402e-11
2 5 1.533504688587812e-09
3 5 5.188969428608237e-10
4 5 1.367894039069859e-09
1 6 2.097414960391204e-11
2 6 6.920750631832719e-10
3 6 2.294534143774702e-10
4 6 6.234515892231667e-10
1 7 1.754308542425419e-11
2 7 5.757768906419353e-10
3 7 1.926404838497624e-10
4 7 5.149576327267158e-10
1 8 1.125699379915606e-11
2 8 3.672496352628847e-10
3 8 1.195778913273147e-10
4 8 3.211978082260143e-10
1 9 1.184907257773328e-11
2 9 3.784525544534405e-10
3 9 1.225360807027599e-10
4 9 3.396841219321217e-10
1 10 8.416465962566514e-11
2 10 2.69884349582447e-09
3 10 8.903516137470555e-10
4 10 2.491558157878061e-09
1 11 6.595857501856365e-12
2 11 2.045480186433854e-10
3 11 6.775782930907922e-11
4 11 1.894525504995231e-10
1 12 1.411873325842686e-11
2 12 4.398679762607196e-10
3 12 1.415045985978736e-10
4 12 3.898494544820519e-10
1 13 9.561835354908532e-12
2 13 2.969916031607694e-10
3 13 9.639458785347311e-11
4 13 2.71076277720368e-10
1 14 1.003031673643152e-11
2 14 3.049644051011976e-10
3 14 1.001618865462283e-10
4 14 2.825238707574764e-10
1 15 1.71167409811501e-11
2 15 5.082915740596807e-10
3 15 1.65299388503171e-10
4 15 4.753163067734177e-10
1 16 8.057925866420098e-12
2 16 2.396779510386978e-10
3 16 7.648910299491759e-11
4 16 2.180495116925013e-10
1 17 7.2736919054113e-12
2 17 2.193205639477162e-10
3 17 7.215752036651943e-11
4 17 1.991514171961883e-10
1 18 6.134123414698779e-12
2 18 1.851362743076526e-10
3 18 6.236669806858675e-11
4 18 1.697041904842472e-10
1 19 9.041712570121353e-12
2 19 2.754388085684765e-10
3 19 9.081664224060968e-11
4 19 2.563642104514266e-10
1 20 2.486232802251638e-11
2 20 7.689419285780831e-10
3 20 2.51845193902761e-10
4 20 6.915036368611629e-10
1 21 5.662996064868966e-12
2 21 1.654435502997418e-10
3 21 5.324738828515079e-11
4 21 1.527880618767941e-10
1 22 3.437323593826964e-12
2 22 1.017180621667856e-10
3 22 3.373872021739962e-11
4 22 9.477613886203857e-11
1 23 5.975454817771117e-12
2 23 1.793977557475475e-10
3 23 5.99782182425071e-11
4 23 1.672675345322699e-10
1 24 1.842044707076633e-11
2 24 5.57627746978503e-10
3 24 1.812306675952166e-10
4 24 5.06748240877174e-10
1 25 9.074348451783959e-12
2 25 2.765757612638424e-10
3 25 9.10597220944343e-11
4 25 2.504697231617576e-10
1 26 2.963107288579198e-12
2 26 8.629472691453184e-11
3 26 2.873323029833918e-11
4 26 8.061439020830427e-11
1 27 4.672027669556109e-12
2 27 1.353338794541914e-10
3 27 4.467453665426035e-11
4 27 1.281233476996055e-10
1 28 2.21899815926131e-12
